id,type,text1,text2,text3,text4,notes
#Factions,,,,,,
projectsolace,FACTION,"Formally a group of survivors of the Second AI war, some are scientists, some are technicians banding together to outlive the day. There were only a few of us but as time went on, the group numbers kept rising and so, they set out to the empty vast space for one purpose only, finding a place where they can protect themself and others like them from the horror of what is known as the Sector. They called themself “Solace” as it is their purpose, to keep peace and help those in need.
10 cycles after the Second AI war, while exploring around the outer part of the core Sector, a distress signal appeared on the main screen of a Solace’s cruiser, without hesitation, the group headed toward the system where the signal was located. Expected pirates to appear right away after the system jump, the cruiser was ready for combat but there were no ships and not a single wreckage in sight, how odd. Following that signal closer, they encounter an abandoned and lost scientist, Dr Wold who becomes one of our greatest researchers for his discovery of the Solace core.
The Solace crystal core or the Solace core as many people called it, is a crystal like object which can only be found in the Chilka system, after being researched extensively by Dr Wold, it unexpectedly has a wide range of powerful quirks. With this discovery, the core becomes a symbol for the Solace Association as it is the power, a tool to maintain peace in the Sector. With that, the faction becomes a threat that can not be taken lightly when it comes to military force. 
Nowadays, the faction welcomes people all over the Sector, as long as they contribute to the greater good, the Association does not care about who they are and what they did, if they are willing to lend a hand, they will always be accepted.
",,,,
enmity,FACTION,"After the successful initial establishment of the Solace Association in the Chilka home system, exploration divisions were formed in search for technology that can aid in the return of past industrial advancements. Hundreds of squadrons were spread out to all nearby systems in search for the tools to do so, as well as scout and document systems for future expansion if needed.
Numerous reports were sent back as the expedition went on, one in particular that stood out was the discovery of a planet filled with autonomous entities, dubbed ""Kearsarge"". Informed of this extraordinary news, an expedition for this planet was set with major participants of both military and research departments. Shortly after, an outpost was formed there with the main focus on researching the behavior of entities and the possibility of utilizing such tech.
It was not long until intel spread into Tri-Tachyon Headquarters and the Hegemony as they arm armadas to confirm whether the rumors of such entities were indeed correct or heinous.
First encounter near the outer gate of the system was a Tri-Tachyon Corporation blockade, demanding immediate surrender of ownership of the system, or else.
Receiving such a frightful threat, Solace Association calls for aid from the Sector but only the Hegemony answered. As the Hegemony armada begins its journey to reach Kearsarge, the Tri-Tachyon have already given out signs of engagement. Without much option, first few prototypes of the Strafer tech were used combined with reinforcements from couples of Solace Association squadrons in order to turn the tide. Victory triumphed but without heavy losses on both sides.
Receiving intel of the engagement, the Hegemony Executive Council can no longer ignore such matters. As the armadas reach Ayubia, Kearsarge’s system, Dr.Wold and many Solace representatives manage to arrange a meeting with the High Hegemon and the Hegemony Executive Council where they reach a compromise in the future of Kearsarge. By the end of the meeting, an autonomous dog-like entity was arranged to be presented to the Hegemony as a proof that Solace Association and the soon to be founded Enmity Strafters can indeed govern such technology.
Not long after, Enmity Strafters was established as an ally of the Solace Association who will govern over the protection as well as regulation of such Strafer tech.
",,,,
,,,,,,
#fighters,,,,,,
ps_sooty,SHIP,"Constructed from the remains of a Terminator Drone, this prototype was developed by the Solace Association to aid the air support in large engagements. Rumors about the AI core within due to its complex movement still is a mystery to many officers.",,,,
ps_riveti,SHIP,"Inspired by the Broadsword class, the Riveti class was built as a front liner for fighter engagement. Flying with it, fighters can easily maneuver through the heavy fire and blast the enemy with ease.",,,,
ps_viridis,SHIP,"As a direct upgrade to its brother Riveti class, the Viridis is equipped with heavier armament to further the original role that it was given. Despite the fragile look, the Viridis class can pack a punch and more if there are enough of them on the field.",,,,
ps_tigris,SHIP,"Built to constantly deal damage to the enemy ship, the Tigris class fighter is a foe that not many prefer to fight against. With its gravitation beam, the Tigris class can easily knock down opponents' shields without any effort.",,,,
ps_dumerili,SHIP,"Agile yet deadly, the Dumerili class is the spear of engagement. Equipped with a phase lance, it can easily shred through any layers of armors given enough time and number.",,,,
